#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-05-29T19:33:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60b296d3281370	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=I/239/hip_main&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=I/239/hip_main
#-order=I
#-out=HIP
#-out=Vmag
#-out=Plx
#-out=B-V
#-out=SpType
#HIPep=HIPep
#Erratum=Erratum
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a12)	Spectral type (H76)	[ucd=src.spType]
HIP;Vmag;Plx;B-V;SpType
114513; 9.93;   7.39; 0.394;K0
114514; 8.34;   0.15; 0.998;K2
114515; 8.76;   3.10; 1.289;M5e-M8.5e
114516; 8.28;   3.36; 0.436;A3
114517; 9.50;   0.57; 1.183;K0
114518;10.75;   3.09; 0.210;F3/F5IV/V
114519; 8.90;  19.38; 0.622;G5V
114520; 5.15;  12.89; 0.139;A5Vn
114521; 8.60;   8.06; 0.604;F8
114522;10.87;   2.99; 0.759;
114523; 9.46;   1.26; 0.140;A0
114524; 9.01;   1.65; 1.187;K0
114525; 9.08;   6.01; 0.505;G0
114526; 6.19;  13.48; 0.937;G8III-IV
114527; 8.87;   1.73;-0.010;A2
114528; 7.93;   8.93; 0.501;F7V
114529;10.51;   3.16; 0.660;G0
114530; 8.78;  19.78; 0.706;G8/K0V
114531; 9.82;   1.58; 0.044;A0
114532; 8.58;  12.14; 0.467;F8
114533; 7.40;   6.74; 0.972;K0
114535; 8.38;   2.23; 0.124;A0
114534; 8.38;   6.26; 0.489;F5
114536; 7.00;   5.54; 1.030;G8III
114537; 7.65;   1.06;-0.022;A0
114538; 9.28;   2.92; 1.000;G5
114539; 9.18;   4.87; 0.330;A5
114540; 7.33;   1.22;-0.045;B5
114541; 7.18;   4.94; 1.109;K1III
114542; 8.74;   2.58; 0.988;K0III
114543; 9.55;  21.13; 1.050;K3
114544; 9.95;   2.01; 0.973;G8/K0V
114545; 8.66;   0.12; 1.164;G8III
114546; 7.53;  18.97; 0.699;G0
114547; 9.14;   7.46; 0.401;A5
114548; 8.31;   2.23; 1.356;K2
114549; 8.61;   3.04; 0.022;B9
114550; 6.43;   5.60; 1.498;K4III
114551; 9.04;  -0.52; 0.315;A3
114552;10.79;  -0.34; 0.340;
114553; 8.58;   0.47; 1.077;K0
114554; 9.16;   4.17; 0.245;A5
114555; 8.32;  10.22; 0.445;F3/F5V
114556; 8.70;   6.25; 0.873;G8IV/V
114557; 8.38;  11.61; 0.881;G8/K0IV/V
114558; 8.66;  12.52; 0.753;G5
114559; 7.40;   5.57; 0.333;F0
114560;10.18;   8.02; 0.567;F6/F7IV/V
114562; 8.08;   9.60; 0.362;F0
114561; 9.42;  21.55; 0.990;K0
114563; 9.63;   2.22; 0.220;B8
114564; 8.94;   3.11; 0.066;A0
114565; 6.92;   5.30; 1.008;K0
114566; 8.69;   1.15; 1.320;K5
114567; 9.13;   5.35; 0.873;G5
114568; 7.95;   7.80; 0.446;F3V
114569; 9.74;   1.86;-0.185;B2/B3IV/V
114570; 4.53;  40.82; 0.302;F0V
114571; 9.81;  12.02; 0.658;G3V
114572; 9.23;   7.66; 0.448;F3/F5V
114573; 8.13;  14.21; 0.730;G5
114574; 9.53;   2.47; 1.234;K2
114575; 7.88;   5.84; 0.939;G5
114576; 7.71;  15.21; 0.622;G5
114577; 9.60;   3.75; 0.254;A2
114578; 8.11;   3.30; 0.189;A2
114579; 9.27;   0.02; 1.689;M0
114580; 8.86;   1.55; 1.517;M4III
114581; 8.72;   2.37; 1.165;K1III
114582; 9.56;   7.45; 0.574;F8/G0V
114583; 9.60;   3.04; 1.243;K1III
114584; 8.77;  12.27; 0.612;G3V
114585; 9.55;  14.04; 0.664;G8V
114586; 9.07;   0.87; 1.290;K2/K3III
114587; 8.77;  16.01; 0.732;G5
114588;10.76;  19.36; 1.182;K7V:
114589;11.20;  16.63; 1.094;K3
114590; 9.08;  10.25; 0.667;G2V
114591; 9.25;   6.06; 0.574;F8V
114592;10.31;   4.57; 0.524;F7/F8V
114593; 9.73;   2.25; 0.103;A0
114594; 7.61;   2.00; 0.993;G0Ib
114595; 9.42;   2.78; 1.549;K5
114596;10.13;   4.45; 0.318;F2
114597;10.92;   3.17; 0.580;G0
114598; 8.10;   4.57;-0.100;B9.5/A0V
114599; 9.63;   3.02; 0.679;G3V
114600; 7.00;   4.23; 1.154;K0
114601; 7.51;   4.53; 1.048;K0III+...
114602; 8.55;   3.93; 1.334;K3III
114603; 7.63;   4.66; 1.033;G6III
114604; 6.91;   5.06; 0.234;A2
114605; 7.71;   2.61; 1.848;M...
114606; 7.97;  10.34; 0.400;F0/F2V
114607; 6.34;   7.73; 0.924;G8III
114608; 6.69;   3.39; 1.624;M...
114611; 9.57;   9.74; 0.450;F0
114609; 8.80;   6.01; 1.220;K0
114610; 8.33;   4.05; 1.132;K1III
114612; 7.60;   5.77; 0.280;A3
114613; 7.80;   4.74; 0.117;A3V
114614;10.78;  17.39; 1.340;K7
114615; 9.60;   8.02; 0.656;G3V
114616; 8.84;  16.55; 0.685;G5
114617; 7.73;   1.27; 1.641;K5
114618; 9.50;   7.49; 0.506;F6
114620; 9.31;   2.70; 1.538;K3III:
114619; 9.53;   2.22; 0.351;A5
114621;10.28;   3.93; 0.834;G6V
114622; 5.57; 153.24; 1.000;K3Vvar
114623; 8.18;   2.85; 1.540;K2
114624; 9.74;   0.58; 0.125;A0
114625;10.42;   2.41; 0.166;A2
114627; 8.86;  14.00; 0.470;F8
114626; 6.80;   5.02; 0.922;G8/K0III
114629; 8.57;   3.64; 0.258;Ap Sr
114628; 8.99;   0.38; 1.282;K1III
114630; 7.66;   6.73; 0.410;F3V
114631; 8.18;   5.04; 0.401;F2
114632; 8.73;   2.78; 1.170;K5
114633; 7.92;   8.03; 0.483;F3V
114634; 7.75;   3.81; 1.084;K0III
114635; 9.90;   6.94; 0.516;F8V
114636; 8.84;   2.17; 1.008;K0III
114637; 8.38;  15.31; 0.550;G0
114638; 8.90;  12.12; 0.727;G5V
114639; 7.40;  11.34; 0.788;K1IIIv comp
114640; 8.62;   8.72; 0.611;G0IV
114641; 5.85;   9.72; 1.004;G5III:
114642; 8.65;   4.72; 1.100;K0
114643; 7.81;   5.71; 0.409;F0
114644; 7.54;  11.04; 0.331;F0
114645; 8.60;   0.42; 1.665;K0
114646; 9.41;   3.99; 0.407;F0V
114647; 9.87;   2.51; 0.104;A2
114648; 9.24;   1.61; 1.018;G8IIIp...
114649; 8.73;   7.15; 0.607;G0
114650;10.01;   4.43; 0.497;F8V
114651; 8.19;   4.21; 1.051;K0III
114652; 7.84;   5.06; 0.390;F3IV
114653; 9.73;  14.79; 0.840;G8V
114654; 9.89;   6.47; 0.476;F5
114655; 8.12;   3.01; 1.288;K1/K2III
114656; 8.55;   2.15;-0.105;B8V
114657; 8.35;   5.33; 0.360;A3
114658; 8.53;   2.84; 1.092;K0III
114659; 8.30;   2.98; 1.285;K2/K3III
114660; 8.75;   3.41; 1.129;K0
114661;11.02;  14.09; 0.689;F6
114662; 8.51;   3.66; 0.045;A0
114663; 9.74;   5.08; 0.491;F2
114664; 8.46;   3.37; 1.022;K0
114665; 7.18;  14.49; 0.393;F2
114666; 7.94;  13.97; 0.519;F8
114667; 9.34;   9.25; 0.569;F7V
114668; 9.26;   1.90; 1.092;M...
114670; 7.37;  21.68; 0.561;F8V
114669; 7.02;   2.25; 1.200;K4III
114671;10.31;  10.17; 0.821;G5
114672; 7.93;   9.04; 0.468;F5
114673; 7.97;   4.38; 1.086;K1III
114674;10.58;   5.24; 0.494;F5
114675; 9.84;   1.10; 0.354;A5
114676; 8.74;   2.68; 1.086;K0
114677;12.01;  13.22; 1.308;
114678; 7.67;   3.25; 1.208;K2IIIp
114679; 9.47;   2.10; 0.442;A5
114680; 8.41;   3.12; 0.250;A0
114681; 7.71;   2.46; 1.459;K2
114682; 9.31;   2.34; 1.055;K1/K2+...
114683; 9.49;  15.42; 0.767;K0
114684; 8.53;   2.11; 1.480;K5
114685; 8.69;   2.04; 0.630;O7p
114686; 6.47;   4.10; 1.151;K2
114687; 9.03;   1.81; 1.175;K0
114688; 8.11;   1.17;-0.147;B9
114689; 7.84;   3.55;-0.200;A0
114690; 7.06;   0.94;-0.135;B0.5III
114691; 8.81;   0.78; 1.308;K0
114692; 9.10;   1.87; 0.835;G8/K1II + G
114693; 8.05;   4.85; 0.939;K1II/III
114694; 9.80;   7.41; 0.507;F5V
114695; 8.89;   0.07; 0.850;B0Ia
114696; 8.98;   1.73; 1.075;G5
114697; 7.83;   2.88;-0.038;B9
114698; 9.40;   1.38; 1.465;K2
114699; 6.12;  34.25; 0.787;G5IV
114700; 7.14;   7.38; 0.309;A2
114701; 8.50;   0.97; 1.349;K2/K3III
114702; 7.55;  26.52; 0.544;F9V
114703; 8.20;  35.69; 0.651;G3V
114704; 8.31;   3.57; 0.166;A0
114705; 7.51;   9.06; 0.131;A2/A3V
114706; 8.11;   8.66; 0.455;F0
114707; 8.47;   7.76; 0.662;G5
114708; 6.90;  18.25; 0.733;G5V
114709; 9.00;  13.14; 0.564;G1/G2V
114710; 9.43;   9.15; 0.453;F5V
114712; 9.29;   3.86; 0.991;G8III
114711; 9.81;  12.44; 0.687;G5V
114713; 9.40;   0.24; 1.109;K0III
114714; 6.32;   7.94;-0.005;A0V
114715; 8.94;   0.73; 1.406;K5
114716;11.99;  39.09; 1.480;M2
114717; 9.46;   8.14; 0.676;G5
114718; 8.84;   3.27; 1.061;K0III
114719;10.46;  51.44; 1.449;K7V
114720; 7.78;   3.52; 1.055;G8III
114721; 9.86;   7.46; 0.444;F6V
114722; 8.27;   9.11; 0.645;G0
114723; 8.58;  11.15; 0.579;F8V
114724; 4.22;  14.68; 1.545;M2III
114725; 6.41;   8.87; 0.448;F6IVw
114726;10.81;   3.23; 0.172;
114727; 8.17;   8.60; 0.413;F2
114728; 9.06;   3.31; 1.172;K1IIICN...
114729; 7.49;  16.30; 0.535;F5
114730; 9.33;   8.67; 0.602;F7V
114731; 8.12;   3.79; 1.427;K4/K5III
114732; 9.05;   1.85; 0.154;A
114733; 9.03;   7.52; 0.312;F2
114734; 7.03;   1.85; 1.068;K2
114735; 8.51;  11.54; 0.400;F3V
114736;11.01;  20.77; 1.270;K7
114737; 8.06;   6.44; 0.872;G8III/IV
114738; 7.78;   5.26; 1.154;K2
114739; 8.41;   7.68; 0.353;F8
114740; 8.07;   4.30; 1.142;K0III
114741;10.69;   3.96; 0.574;F8
114742; 6.36;   6.47; 1.167;K2III
114743; 8.59;  14.77; 0.759;G8V
114744; 8.62;   6.08; 0.326;F2
114745; 5.89;   7.16;-0.010;A0V
114746; 9.42;  27.53; 0.938;K2V
114747; 9.20;   1.33; 1.141;K1III/IV
114748; 9.28;  -0.03; 1.000;K3III
114749; 8.79;   7.77; 0.506;F8
114750; 6.13;   3.90; 1.504;K5III
114751; 8.47;   7.84; 0.499;G5
114752; 7.55;   9.25; 0.279;A3
114753; 8.46;   5.70; 0.575;G0V
114754; 8.95;   0.60; 1.061;G8/K0IV
114755; 9.34;   7.19; 0.558;G0V
114756;11.50;  17.86; 1.250;K7
114757; 9.24;   0.87; 1.383;M5e-M6e
114758; 7.92;   2.43; 1.055;G8/K0III
114759; 8.73;  11.82; 0.636;K0
114760; 9.05;   1.00; 0.100;A
114761; 8.52;   6.74; 0.402;F0V
114762; 8.44;   4.00; 1.238;K2III
114763; 7.37;   3.03; 1.627;M...
114764; 8.76;   5.47; 0.381;F0III
114765; 9.23;   4.99; 0.475;F6V
114766;10.09;   1.22; 0.240;A5
114767; 7.61;   3.53; 1.245;K1IIICN...
114768; 9.85;   7.02; 0.244;A0
114769; 7.23;  19.00; 0.429;F2
114770; 8.70;   2.69; 0.989;G5
114771; 7.94;   2.16; 1.415;K3III
114772; 8.90;   3.05; 0.332;F0IV/V
114773;10.69;   5.80; 0.639;
114774; 7.10;   7.48; 0.026;A0
114775; 5.77;  13.95; 1.160;K2III
114776;10.27;   1.04; 0.378;F0V
114777; 9.23;  -0.05; 0.270;B5
114778; 8.49;   5.83; 0.490;F8
114779; 7.32;   1.34; 1.389;K2
114780; 9.44;  11.39; 1.011;G8/K0III:
114781; 7.21;   3.79; 0.051;A0
114782; 8.27;   0.65; 0.056;B9
114783; 8.51;   6.63; 0.446;F2
114784; 8.83;   2.68; 1.131;K0
114785; 8.54;   1.82; 0.359;B8
114786; 9.75;   7.44; 1.059;G5
114787; 9.01;   2.16; 1.985;K5
114788; 8.86;   8.79; 0.488;F8
114789;10.27;   0.26; 0.427;F5/F6V
114790; 7.96;  32.78; 0.695;G5V
114791; 9.58;   0.28;      ;WN4.5
114792; 7.64;  10.26; 0.476;F5
114793; 8.71;   1.18; 1.244;K1III
114794; 9.50;   3.28; 0.332;F2IV/V
114795; 7.48;   3.34; 0.938;G5
114796; 8.26;  16.47; 0.609;G0
114797; 8.15;   2.15; 1.496;K5
114798; 8.63;   4.71; 0.186;A2
114799; 9.94;  13.72; 0.858;K1III:
114800; 7.66;   9.41; 0.352;F0
114802; 7.28;   7.63; 0.179;A5IV
114801; 8.99;   5.13; 0.711;G3V
114803; 8.32;   4.27; 0.399;F2
114804; 7.55;   7.70; 0.218;A8/A9V
114805; 7.93;   2.69; 1.093;K0III
114806; 7.97;   7.17; 0.344;F0
114807; 8.27;   3.32; 0.934;G5
114808; 9.82;   9.52;      ;G8V
114809; 6.81;   5.58; 0.850;G5III
114810; 6.57;  10.80; 0.290;F0III
114811; 8.91;   9.07; 0.577;G0
114812; 7.75;   4.95; 1.117;K0
114813; 8.94;   6.67; 0.470;F7/F8V
114814; 8.14;   9.56; 0.555;F8V
114815; 9.66;   0.79; 0.802;B0III:p:
114816; 7.17;   2.07;-0.015;B5
114817; 8.39;   4.65; 1.181;K2V
114818;10.14;   1.88; 0.253;A2
114819; 8.86;   1.87; 0.213;A2IV
114820; 7.35;   2.22; 1.315;K2III
114821; 8.50;  10.50; 0.476;F3V
114822; 5.56;  14.09; 0.062;A3V
114823;11.21;  24.51; 1.156;K7
114824; 8.75;   3.13; 1.008;K0III
114826; 8.21;   5.14; 1.139;K2III
114825; 9.36;   3.13; 0.309;B8
114827;10.05;   2.85; 1.000;G0
114828; 7.86;   2.62; 0.043;A0
114829; 7.55;   3.02; 1.527;K4III
114830; 8.94;  11.10; 0.584;F8/G0V
114831; 5.55;   9.15; 0.263;F0IV
114832; 9.74;  -1.96; 0.456;F5V
114834; 6.76;  22.51; 0.537;F5
114833; 7.26;   4.53; 0.918;K0
114835; 7.79;   3.84; 1.050;G9III
114836; 8.60;   3.43; 0.184;A0
114837; 9.89;  10.09; 0.581;F8/G0V
114838; 7.61;  10.83; 0.537;F8
114839; 8.15;   2.81; 1.094;K0III
114840; 8.19;   0.67; 1.682;K2
114841; 8.75;   5.14; 0.211;Ap
114842; 6.52;   9.68; 1.064;K0III
114843; 9.12;   3.05; 0.109;A0
114844; 6.51;   3.41; 0.833;G5III
114845; 9.76;   6.92; 0.537;F7V
114846; 8.25;   2.34; 0.239;A2
114847; 9.27;   1.66; 0.950;K1III
114848;11.64;  11.42; 1.213;
114849; 9.07;   2.91; 1.160;K2
114850; 8.31;   2.24; 1.669;M0
114851; 7.97;  11.68; 1.007;K0III
114852;10.03;   3.48; 0.664;G0
114853; 7.86;   3.56; 0.012;A0
114854; 7.28;  14.17; 0.433;F3V
114855; 4.24;  21.97; 1.107;K0III
114856; 7.98;  11.99; 0.547;F6IV
114857; 8.69;   0.98; 0.800;G6III
114858; 9.23;   3.25; 1.242;K5
114859; 9.96;  45.21; 1.050;M
114860; 8.74;   4.03; 0.858;K0
114861; 9.60;   5.01; 0.543;F6V
114862; 8.44;   9.03; 0.453;F8
114863; 6.57;  23.25; 0.415;F5V
114864; 6.93;   2.92; 1.301;K0
114865; 9.51;   8.20; 0.513;F8
114866; 8.53;   7.32; 0.504;F5/F6V
114867; 8.82;   3.25; 0.500;Fm
114868; 6.87;  13.62; 0.288;F0
114869;10.04;   1.57; 0.136;A2IV
114870; 9.07;   5.64; 0.330;A3
114871; 8.37;   3.66; 0.100;A1/A2V
114872; 7.96;   4.45; 1.120;K0
114873; 7.91;   2.76; 1.194;K2III
114874; 7.07;   3.00; 1.652;M0III
114875; 9.60;   3.45; 0.256;A0
114876; 9.37;   3.85; 0.376;F0IV/V
114877; 7.56;   3.98; 1.010;K2
114878; 8.02;  13.12; 0.551;F8V
114879; 8.24;   7.60; 0.375;F0V
114880; 7.88;  15.90; 0.513;F6V
114881; 8.19;   0.84; 1.695;K5
114882; 9.31;  10.45; 0.531;G0V
114883; 7.39;  10.00; 0.308;A5
114884; 8.24;   8.98; 0.485;F5V
114889; 8.24;   0.57; 1.726;M2III
114885; 9.22;  31.26; 1.007;K3V
114887; 8.48;   4.56; 1.025;K0III
114886; 8.07;  41.33; 0.871;K2V
114888; 8.41;   2.01; 1.140;K0
114890; 9.17;   2.48; 0.284;A0
114891; 9.36;   2.06; 1.600;M2
114892; 7.56;   6.09; 0.127;A0
114893; 8.45;  11.75; 0.579;F8
114894; 9.82;   2.07; 0.456;A5
114895; 9.15;  15.79; 0.807;G5
114896; 9.61;   0.51; 1.124;K0V
114897; 8.21;   1.03; 1.227;K2
114898; 7.38;   4.57; 0.473;F0
114899; 6.93;  15.81; 0.446;F3/F5IV
114900; 7.41;   2.38; 1.593;K5
114901;10.38;   1.54; 0.389;F2V
114902; 8.81;   2.84; 1.169;K2
114903; 9.57;   6.49; 0.457;F5V
114904; 6.53;   1.87; 0.164;B0Vn
114905; 8.76;   6.92; 0.464;F8
114906; 7.98;  13.56; 0.529;F8
114907; 7.11;  13.18; 0.312;F2III
114908; 7.36;   1.13; 1.626;K5/M0III
114909; 9.67;   2.07; 0.334;F0
114910;11.94;  11.47; 1.148;K7
114911; 8.07;  10.78; 0.395;F0
114912; 9.15;  -0.45; 1.526;K1/K2III:
114913; 8.08;   3.97; 1.290;K0
114914; 7.60;  18.30; 0.654;G4
114915; 8.41;   2.99; 1.470;K5
114916; 8.68;   3.72; 0.257;A7V
114917; 7.61;   2.54; 1.295;M7III
114918; 9.04;   4.16; 0.162;A0V
114919; 8.98;   1.14; 0.701;G3V
114920; 7.13;   3.56; 1.205;K1/K2III
114921; 5.92;  11.32; 1.053;K1III
114922;11.17;  31.50; 1.450;M0
114923;10.40;  13.65; 0.945;K3V
114924; 5.58;  49.31; 0.556;F7V
114925; 9.12;   6.91; 0.524;F8V
114926; 9.48;   1.42; 0.154;A2
114927;10.56;  10.53; 0.871;
114928; 8.53;   0.98;-0.033;B9
114929; 9.06;   4.26; 0.580;F2V
114930; 8.39;   3.37; 1.106;M7
114931; 8.49;   4.11; 1.059;K2
114932; 9.04;   5.66; 1.031;K1III/IV
114933; 7.25;  10.84; 1.034;K0III
114934; 8.35;   5.22; 0.434;F2/F3V
114935; 9.63;   7.86; 0.560;G0V
114936; 8.47;   2.44; 1.007;K2
114937; 6.49;   6.67; 1.070;K0III
114938; 8.43;  -1.20; 1.188;K0/K1III
114939; 4.93;   5.09; 1.613;M3III
114940; 7.52;   5.78; 0.097;A0
114941;10.51;  38.08; 1.500;K7V:
114942; 8.77;   8.17; 0.367;F0V
114943; 9.21;   0.66; 0.290;A2
114944; 9.49;   7.72; 0.741;G5Ve
114945; 9.12;   9.45; 0.647;G1V
114946; 8.31;   2.81; 1.546;M2/M3III
114947;10.61;   3.18; 0.630;G0
114948; 5.64;  48.60; 0.521;F7V
114949; 7.69;   4.97; 0.186;A2
114950; 8.08;  14.19; 0.684;G3V
114951; 6.93;   3.19; 1.295;K2III
114952; 6.71;  26.37; 0.415;F0
114953; 9.57;   9.87; 0.433;F8
114954;10.86;  47.58; 1.395;K7
114955; 8.81;   5.90; 0.481;G
114956; 9.34;   6.41; 0.478;F6V
114957; 9.59;   3.57; 0.394;A5
114958; 8.40;   1.87; 0.320;B1III
114959; 8.05;   3.68; 1.041;G5
114960;10.16;  14.68; 0.874;
114961; 9.95;   5.65; 0.794;G8/K0V
114962; 8.16;  12.04; 0.481;F8:w
114963; 8.87;   4.70; 0.272;A0
114964; 9.02;   1.93; 1.202;K1III
114965; 8.54;   3.64; 1.293;K0
114966;10.72;   1.88; 0.470;F3V
114967; 9.08;  17.19; 0.759;K0V
114968; 7.72;   8.24; 0.347;F0IV
114969; 6.24;   3.58; 1.556;M1/M2III
114970; 7.33;   5.53; 0.996;K0III
114971; 3.70;  24.92; 0.916;G7III
114972; 9.71;   5.65; 0.341;
114973; 9.82;   1.70; 0.700;K0/K1+A/F
114974; 9.08;   3.19; 0.162;A3V
114975; 7.93;   0.95; 1.677;K5
114976; 8.60;   1.36; 1.130;K0
114977; 7.60;   2.31; 1.411;K2
114978; 9.32;  -1.57; 1.091;K0
114979; 9.79;   7.55; 0.587;G2/G3V
114981; 6.44;  13.53; 1.077;K0IV
114980; 9.02;  36.87; 1.130;K5V
114982; 8.44;  10.88; 0.527;F6V
114983; 8.97;   9.45; 0.533;G0
114984; 6.35;   5.19; 0.049;A2Vs
114985; 7.17;   1.00; 1.671;M1III
114988; 8.27;   3.60; 1.110;K0III
114986; 8.71;  36.68; 1.049;K5v...
114987; 9.95;   1.10; 0.345;A0
114989; 7.50;   3.80; 1.359;K2/K3III
114990; 8.46;   0.00; 0.710;B0II
114991; 8.14;   6.37; 0.302;A8IV
114992; 7.87;   2.09; 1.653;K5
114993; 8.84;   2.75; 1.293;K2III:
114994;10.18; -21.35; 1.540;
114995;11.58;  -6.98; 1.197;
114996; 3.99;  45.40; 0.410;F1III
114997; 8.59;   6.77; 0.339;F0V
114998; 6.72;   1.64;-0.137;B5II/III
114999; 8.09;  12.32; 0.486;F3V
115000; 7.76;   5.77; 0.847;G8IV
115001; 7.76;  11.25; 0.694;G2/G3V
115002; 8.77;   8.14; 0.494;F2III
115003; 8.37;   2.28;-0.010;B9
115004; 9.72;  26.96; 1.130;K8
115005; 9.03;   2.94; 0.455;F3IV
115006; 8.57;  -0.19; 0.300;A0
115007; 9.30;   1.95; 0.035;B8
115008; 8.04;   4.76; 0.990;K0V
115010; 9.88;   4.04; 0.498;F5V
115009;10.41;   8.25; 0.730;G5
115011; 6.73;   6.23; 0.392;F0
115012; 7.88;  18.10; 0.676;G5
115013;10.39;  30.71; 1.316;K7V
115014; 8.20;   4.22; 1.582;K5
115015; 6.33;   8.37; 0.058;A1/A2IV/V
115016; 8.87;   3.32; 0.360;A
115017; 7.02;   7.70; 0.481;F5
115018; 7.03;   9.37; 0.330;F0
115019;10.29;   2.28; 0.326;A2
115020; 9.31;  -0.37; 0.985;G8IV
115021; 8.39;   3.30; 1.033;K0III
115022; 4.82;   4.98; 1.668;M2III
115023; 8.36;   2.97; 1.690;K5
115024; 7.71;   2.83; 1.420;K3III
115025; 8.16;   4.19; 1.231;K2
115026; 9.10;   2.18; 1.075;G8III
115027; 8.06;   9.28; 0.344;F0
115028; 8.35;   2.69; 0.207;A2V
115029; 6.99;   4.03; 1.205;K2III
115030; 8.72;   3.65; 0.307;F0
115031; 8.28;  15.71; 0.468;F8
115033; 4.41;  10.13;-0.144;B5Vn
115032; 8.81;   2.53; 1.077;K0
115034; 8.25;   7.67; 0.297;A6V
115035; 9.59;   2.28; 0.488;F5V
115036; 6.48;   5.98;-0.037;B9p...
115037; 8.85;   9.24; 0.581;F8
115038; 6.59;   3.42; 1.264;K2/K3IIICNp
115039; 7.16;   6.59; 1.107;K0
115040; 8.92;   1.95; 0.980;K0
115041; 7.63;   6.66; 1.025;K0
115042; 7.33;   5.00; 0.400;F3IV/V
115043; 6.74;   6.90; 1.099;K1IIICN...
115044; 6.98;   1.68; 0.122;A2
115045; 9.56;   0.51; 0.600;F7/F8V
115046;11.07;  -2.98; 0.499;F4
115047; 8.66;   6.06; 0.277;A5
115048; 8.78;  -0.02; 0.641;B9Iab
115049; 9.00;   2.77; 0.953;G8IV
115050; 9.26;   2.03; 1.307;K0
115051; 8.53;   6.42; 0.443;F2III
115052; 9.29;   3.26; 1.569;M0
115053; 8.23;  10.80; 0.565;F8V
115054; 5.54;  28.89; 0.445;F5V
115055; 8.82;   0.79; 1.650;M0/M1
115056; 9.84;   5.34; 1.162;K2
115057; 7.28;  14.44; 0.433;G0IV
115058;10.92;  41.19; 1.434;M1
115059; 8.31;   9.64; 0.616;G0
115060; 9.18;   5.32; 0.678;G5V
115061; 9.65;   2.69; 0.192;A2
115062; 6.15;   5.19; 1.356;K2/K3III
115063; 9.14;   4.27; 0.472;F5
115064;11.57;   7.36;      ;
115065; 5.98;   6.90; 0.215;A7m
115066; 8.38;  19.58; 0.715;G5
115067; 8.66;   3.77; 0.130;B9...
115068; 8.63;   7.36; 0.574;G0V
115069; 8.96;   0.64;-0.008;B9
115070; 8.50;   0.84; 0.563;A9III
115071; 8.18;   1.49; 0.933;G5
115072; 7.97;   9.95; 0.499;F6V
115073; 8.27;  -1.69; 1.439;K5III/IV
115074; 8.57;  12.58; 0.582;G0
115075; 8.97;   4.08; 0.423;F2
115076; 8.59;   3.06; 0.197;B9p
115077; 6.91;   6.83; 1.006;K0III
115078; 6.75;   2.28; 1.662;M1III
115079; 8.13;   1.64; 1.107;K0
115080;10.57;   0.81; 0.446;F3/F5V
115081; 9.25;   1.36; 0.553;F6V
115082; 8.42;   0.62; 1.150;B9Ia
115083; 8.75;   0.02;-0.044;B9
115084; 9.42;   8.23; 0.759;G6V
115085; 7.71;   3.61; 1.176;K1III
115086;10.36;   1.51; 0.436;F0V
115087; 7.50;  25.33; 0.632;G2V
115089; 9.07;   3.59; 0.098;B8
115088; 4.75;  15.48; 0.836;K0III
115090; 8.03;   2.48; 0.400;F0
115091; 9.30;   3.35; 0.134;F2
115092; 7.17;   4.87; 1.364;K5
115093; 7.37;   7.29; 0.335;F0
115094;10.90;  15.53; 0.985;K3V
115095; 9.28;   1.10; 0.210;B8
115096; 7.76;   5.45; 1.264;K3IIICN...
115097; 8.86;   4.59; 1.114;K0
115098; 6.59;   2.51;-0.042;A0V
115099;11.25;  30.77; 1.633;M3
115100; 8.04;  12.33; 0.654;G0IV
115101; 7.50;   3.08; 1.416;K5
115102; 4.41;  18.24; 1.109;K1III
115103; 9.16;  11.18; 0.569;F7V
115104; 9.65;   6.48; 0.210;B9.5V
115105; 8.86;   0.84; 1.036;K0
115106; 8.70;   8.90; 0.390;G0
115107; 8.05;   2.93; 1.251;K2III
115108; 8.59;  10.03; 0.476;F8
115109; 8.56;   1.77; 1.114;K2
115110; 7.73;   8.47; 0.240;A0m...
115111; 8.91;   3.91; 1.089;K0III
115112; 8.02;  30.76; 0.820;K0V...
115113; 6.94;   6.13; 1.093;K0III
115114; 7.64;   3.16; 0.340;A5...
115115; 4.99;  13.10;-0.022;A0V
115116; 8.04;   5.30; 0.221;A0
